name,category,region,country,address,lat,lon,phone,email,website,website_live,facebook,instagram,rating,review_count,completeness_score,industry_priority,recommended_service,source,scraped_at
Fahed Supermarket - Jounieh,supermarket,Mount Lebanon,LB,"La Cite، Jounieh, Lebanon",33.984955299999996,35.6348312,09 934 433,,,,,,3.9,883,2,medium,"RTYLR commerce OS (POS, online ordering, CRM)",google_places|osm,2026-05-04T11:47:22.394171Z
Hopital des Soeurs du Rosaire,hospital,Beirut,LB,"VGW8+837, Beirut, Lebanon",33.8957958,35.5151822,01 440 800,info@hopitalrosaire.org,http://www.hopitalrosaire.org/,True,,,4.2,56,4,medium,Discovery call - scope the right service,google_places|osm,2026-05-04T11:47:22.394171Z
مستشفى الإقليم المركزي,hospital,Mount Lebanon,LB,,33.6139536,35.4721675,+9617970777,,,,,,,,1,medium,Full digital launch (brand + website + social setup),osm,2026-05-04T11:47:22.388875Z
روسّا كافيه,cafe,Beirut,LB,,33.8952284,35.484735,+961 1 343 339,,,,,,,,1,high,"RTYLR commerce OS (POS, online ordering, CRM)",osm,2026-05-04T11:47:22.388875Z
ستاربكس,cafe,Beirut,LB,,33.8956032,35.4830661,+9611744305,,https://www.starbucks.com/,True,,,,,2,high,SEO audit + visibility upgrade,osm,2026-05-04T11:47:22.388875Z
صيدلية قاروط,pharmacy,Beirut,LB,,33.875686,35.4974978,+9611306099,,,,,,,,1,medium,Full digital launch (brand + website + social setup),osm,2026-05-04T11:47:22.388875Z
حنيني,pharmacy,Beirut,LB,بيروت,33.8736312,35.5000326,+9611819110,,,,,,,,2,medium,Full digital launch (brand + website + social setup),osm,2026-05-04T11:47:22.388875Z
مطعم الشمس,restaurant,Bekaa,LB,"Anjar Main Road, Anjar",33.7293791,35.9272457,+9618620568,,,,,,,,2,high,"RTYLR commerce OS (POS, online ordering, CRM)",osm,2026-05-04T11:47:22.388875Z
عبدالرحمان الحلاب,bakery,North Lebanon,LB,Tripoli,34.4374808,35.8336931,+9616444445,,https://www.hallab.com.lb/,True,,,,,3,medium,SEO audit + visibility upgrade,osm,2026-05-04T11:47:22.388875Z
أوتيل ماربل تاور,hotel,Beirut,LB,شارع نعمة يافت,33.8966863,35.4802065,+9611354586,info@marbletowerhotel.com,http://www.marbletowerhotel.com,True,,,,,4,high,SEO audit + visibility upgrade,osm,2026-05-04T11:47:22.388875Z
Nini Hospital,hospital,North Lebanon,LB,"El Maarad, Tarablus, Lebanon",34.4355717,35.8305106,06 431 400,,http://hopitalnini.com/,True,,,3.3,118,3,medium,Reputation + SEO turnaround,google_places|osm,2026-05-04T11:47:22.394171Z
أفران شمسين,bakery,Mount Lebanon,LB,طريق البحر السريع,33.7765746,35.4716779,+9615800658,,http://www.chamsine.net,True,,,,,3,medium,SEO audit + visibility upgrade,osm,2026-05-04T11:47:22.388875Z
Aida Pharmacy,pharmacy,Mount Lebanon,LB,Debbiyeh,33.6828717,35.4748587,+9617985662,,,,,,,,2,medium,Full digital launch (brand + website + social setup),osm,2026-05-04T11:47:22.388875Z
صيدلية الوردية,pharmacy,Mount Lebanon,LB,,33.8005793,35.4861194,+9615806608,,,,,,,,1,medium,Full digital launch (brand + website + social setup),osm,2026-05-04T11:47:22.388875Z
باب الميناء,restaurant,North Lebanon,LB,,34.1218287,35.6439216,+9619540475,,,,,,,,1,high,"RTYLR commerce OS (POS, online ordering, CRM)",osm,2026-05-04T11:47:22.388875Z
Saydet Zgharta Hospital,hospital,North Lebanon,LB,زغرتا,34.3996522,35.8856898,+9616660575,,http://www.ehdenz.com,True,,,,,3,medium,SEO audit + visibility upgrade,osm,2026-05-04T11:47:22.388875Z
أوتيل بيفيو,hotel,Beirut,LB,,33.9015855,35.4910599,+9611373090,,,,,,,,1,high,"RTYLR commerce OS (POS, online ordering, CRM)",osm,2026-05-04T11:47:22.388875Z
Byblos Comfort Hotel,hotel,North Lebanon,LB,جبيل,34.123963,35.6481661,+9619942200,info@bybloscomforthotel.com,,,,,,,3,high,"RTYLR commerce OS (POS, online ordering, CRM)",osm,2026-05-04T11:47:22.388875Z
حاج سوبرستور,supermarket,North Lebanon,LB,,34.1205801,35.6509154,+9619546000,,,,,,,,1,medium,"RTYLR commerce OS (POS, online ordering, CRM)",osm,2026-05-04T11:47:22.388875Z
نزل مار ميخائيل,hostel,Mount Lebanon,LB,معاصر الشوف,33.6671352,35.6716396,+961 5 350451;+961 5 350452,,,,,,,,2,high,Full digital launch (brand + website + social setup),osm,2026-05-04T11:47:22.388875Z
فندق الباروك بالاس,hotel,Mount Lebanon,LB,,33.7123376,35.6902985,+961 5 240251,,,,,,,,1,high,"RTYLR commerce OS (POS, online ordering, CRM)",osm,2026-05-04T11:47:22.388875Z
فندق إيريس فلور,hotel,South Lebanon,LB,Jezzine,33.5407869,35.5846962,+961 7 781999,,,,,,,,2,high,"RTYLR commerce OS (POS, online ordering, CRM)",osm,2026-05-04T11:47:22.388875Z
الرامي,restaurant,Mount Lebanon,LB,,33.8361609,35.7396675,+961 5 531694,,,,,,,,1,high,"RTYLR commerce OS (POS, online ordering, CRM)",osm,2026-05-04T11:47:22.388875Z
مطعم أبو نعيم,restaurant,Beirut,LB,"12, شارع عمر بن عبد العزيز, بيروت",33.8952358,35.4834994,+9611750480,,https://www.facebook.com/AbuNaimHamra,True,,,,,3,high,SEO audit + visibility upgrade,osm,2026-05-04T11:47:22.388875Z
Sabis Adma,school,Mount Lebanon,LB,,34.0234982,35.6378846,+9619854154,,,,,,,,1,medium,Full digital launch (brand + website + social setup),osm,2026-05-04T11:47:22.388875Z
Tavolina,restaurant,Beirut,LB,,33.8971463,35.5243323,+961 1 442 244,,,,,,,,1,high,"RTYLR commerce OS (POS, online ordering, CRM)",osm,2026-05-04T11:47:22.388875Z
ماكدونالدز,fast_food,Mount Lebanon,LB,,33.9105469,35.5829256,+9614521349,,,,,,,,1,high,"RTYLR commerce OS (POS, online ordering, CRM)",osm,2026-05-04T11:47:22.388875Z
ستاربكس,cafe,Mount Lebanon,LB,,33.9005689,35.572722,+961 1 757 154,,https://locations.starbucks.com.lb/directory/mount-lebanon/zalka-road-zalka,True,,,,,2,high,SEO audit + visibility upgrade,osm,2026-05-04T11:47:22.388875Z
Wooden Bakery,bakery,Mount Lebanon,LB,,33.8542707,35.569453,+9614532666,,,,,,,,1,medium,Full digital launch (brand + website + social setup),osm,2026-05-04T11:47:22.388875Z
سي اسويت,confectionery,Beirut,LB,Rue de Damas,33.8675065,35.5271053,+9611292444,,http://www.lebanon.com/seasweet/,True,,,,,3,medium,SEO audit + visibility upgrade,osm,2026-05-04T11:47:22.388875Z
Copas,restaurant,Mount Lebanon,LB,"برمانا, Broumana",33.8855576,35.6393939,+961 4 963 999,,http://www.copas.asia/,False,,,,,3,high,Website rebuild + maintenance,osm,2026-05-04T11:47:22.388875Z
مستشفى لبنان للقلب,hospital,North Lebanon,LB,,34.4188689,35.8287278,+961 6 411 750,,,,https://www.facebook.com/lebanonhearthospital,,,,2,medium,Website launch + capture their existing audience,osm,2026-05-04T11:47:22.388875Z
Osta,pharmacy,Mount Lebanon,LB,Wadi Shahrour,33.8178356,35.5579975,+961 5 943 571,,,,,,,,2,medium,Full digital launch (brand + website + social setup),osm,2026-05-04T11:47:22.388875Z
مستشفى شتورا,hospital,Bekaa,LB,شتورا,33.8192371,35.8586781,+9618544022,,http://www.chtourahospital.com,True,,,,,3,medium,SEO audit + visibility upgrade,osm,2026-05-04T11:47:22.388875Z
مطعم الشلالات الزرقا,restaurant,Mount Lebanon,LB,,33.6525097,35.5337695,+961 5 301 149,,,,,,,,1,high,"RTYLR commerce OS (POS, online ordering, CRM)",osm,2026-05-04T11:47:22.388875Z
مختبرات الحدث,clinic,Mount Lebanon,LB,,33.8394642,35.5303506,+9615464403,,,,,,,,1,high,Lead-gen website + Google Ads launch,osm,2026-05-04T11:47:22.388875Z
مطعم السلطان جبيل,restaurant,North Lebanon,LB,,34.1219923,35.6436274,+9619550777,,,,,,,,1,high,"RTYLR commerce OS (POS, online ordering, CRM)",osm,2026-05-04T11:47:22.388875Z
زهير,fast_food,Mount Lebanon,LB,,33.8404637,35.5327688,+9615470504,,,,,,,,1,high,"RTYLR commerce OS (POS, online ordering, CRM)",osm,2026-05-04T11:47:22.388875Z
my bakery,bakery,Mount Lebanon,LB,,33.8243316,35.5445568,+9615922367,,,,,,,,1,medium,Full digital launch (brand + website + social setup),osm,2026-05-04T11:47:22.388875Z
Hôpital Libano-Français,hospital,Bekaa,LB,,33.8334351,35.9124998,+961 8 810 121,,,,,,,,1,medium,Full digital launch (brand + website + social setup),osm,2026-05-04T11:47:22.388875Z
صيدلية سان شارل,pharmacy,Mount Lebanon,LB,,33.845676,35.5466775,+9615952822,pharmacy.st-charles@outlook.com,,,,,,,2,medium,Full digital launch (brand + website + social setup),osm,2026-05-04T11:47:22.388875Z
أتويه,clothes,Mount Lebanon,LB,الحدث,33.8330102,35.5303192,+9615464096,,,,,,,,2,high,Full digital launch (brand + website + social setup),osm,2026-05-04T11:47:22.388875Z
EKT Katrangi,electronics,Beirut,LB,"شارع خليل مطران, Beyrouth",33.864812,35.4904856,+961 1 820 020,,https://www.katranji.com,True,,,,,3,medium,SEO audit + visibility upgrade,osm,2026-05-04T11:47:22.388875Z
Clinilab,clinic,Beirut,LB,,33.8495472,35.5349449,+9615956011,,,,,,,,1,high,Lead-gen website + Google Ads launch,osm,2026-05-04T11:47:22.388875Z
hawilo hadath,fast_food,Mount Lebanon,LB,,33.8407311,35.5327473,+9615462456,,,,,,,,1,high,"RTYLR commerce OS (POS, online ordering, CRM)",osm,2026-05-04T11:47:22.388875Z
Papitto,laundry,Mount Lebanon,LB,,33.8055452,35.5414058,+9615430677,,,,,,,,1,medium,Full digital launch (brand + website + social setup),osm,2026-05-04T11:47:22.388875Z
Samar,pharmacy,Mount Lebanon,LB,,33.8428302,35.5299652,+9615469881,,,,,,,,1,medium,Full digital launch (brand + website + social setup),osm,2026-05-04T11:47:22.388875Z
Abi Nader,marketplace,Mount Lebanon,LB,,33.8254889,35.5455226,+9615922811,,,,,,,,1,medium,Full digital launch (brand + website + social setup),osm,2026-05-04T11:47:22.388875Z
lalous argileh,tobacco,Mount Lebanon,LB,,33.8026259,35.5440176,+9615431368,,,,,,,,1,medium,Full digital launch (brand + website + social setup),osm,2026-05-04T11:47:22.388875Z
جفينور روتانا,hotel,Beirut,LB,,33.8980962,35.4879423,+9611371888,,,,,,,,1,high,"RTYLR commerce OS (POS, online ordering, CRM)",osm,2026-05-04T11:47:22.388875Z
Vista del Mar,hotel,Mount Lebanon,LB,,33.994658,35.6422228,+9619639799,,,,,,,,1,high,"RTYLR commerce OS (POS, online ordering, CRM)",osm,2026-05-04T11:47:22.388875Z
موج البحر,restaurant,Mount Lebanon,LB,,33.9945666,35.6406626,+9619914414,,,,,,,,1,high,"RTYLR commerce OS (POS, online ordering, CRM)",osm,2026-05-04T11:47:22.388875Z
Makhlouf,restaurant,Mount Lebanon,LB,,33.9885817,35.6374521,+961 9 645 192,,,,,,,,1,high,"RTYLR commerce OS (POS, online ordering, CRM)",osm,2026-05-04T11:47:22.388875Z
El Mina,convenience,Mount Lebanon,LB,,33.9879854,35.6371376,+9619637382,,,,,,,,1,medium,"RTYLR commerce OS (POS, online ordering, CRM)",osm,2026-05-04T11:47:22.388875Z
Maison Swiss,bar,Mount Lebanon,LB,,33.987383,35.6371741,+9619930807,,,,,,,,1,high,"RTYLR commerce OS (POS, online ordering, CRM)",osm,2026-05-04T11:47:22.388875Z
Concept,car_rental,Mount Lebanon,LB,,33.9934074,35.6420657,+9619910091,,,,,,,,1,medium,Full digital launch (brand + website + social setup),osm,2026-05-04T11:47:22.388875Z
Al Murjan Palace Hotel,hotel,Mount Lebanon,LB,,33.9914977,35.6414817,+9619832199,,,,,,,,1,high,"RTYLR commerce OS (POS, online ordering, CRM)",osm,2026-05-04T11:47:22.388875Z
مانويلا,restaurant,Mount Lebanon,LB,,34.004112,35.6447601,+961 9 830 000,,,,,,,,1,high,"RTYLR commerce OS (POS, online ordering, CRM)",osm,2026-05-04T11:47:22.388875Z
بربكيو,fast_food,Mount Lebanon,LB,,33.9818277,35.6286457,+961 9 936 906,,,,,,,,1,high,"RTYLR commerce OS (POS, online ordering, CRM)",osm,2026-05-04T11:47:22.388875Z
Khodr Jewelry,jewelry,Beirut,LB,شارع أمين منيمنة,33.8929773,35.4853709,+9611343539,info@khodrjewelry.com,https://www.khodrjewelry.com/,False,,,,,4,high,Website rebuild + maintenance,osm,2026-05-04T11:47:22.388875Z
Regency Palace,hotel,Mount Lebanon,LB,,34.018442,35.6485142,+961 9 854 000;+961 9 854 854,,,,,,,,1,high,"RTYLR commerce OS (POS, online ordering, CRM)",osm,2026-05-04T11:47:22.388875Z
Abdo Couture,clothes,Beirut,LB,,33.8732185,35.5221117,+9611280020,,,,,,,,1,high,Full digital launch (brand + website + social setup),osm,2026-05-04T11:47:22.388875Z
Chady Abi Aad,electronics,Mount Lebanon,LB,,33.8907552,35.5581884,+9611881231,,,,,,,,1,medium,Full digital launch (brand + website + social setup),osm,2026-05-04T11:47:22.388875Z
Centre de Design Farra,furniture,Mount Lebanon,LB,"155, طريق برمانا الرئيسية, Metn",33.8638968,35.5469009,+961 1 687 000,,http://www.farra.com,True,,,,,3,medium,SEO audit + visibility upgrade,osm,2026-05-04T11:47:22.388875Z
Sushiway,restaurant,Mount Lebanon,LB,,34.0138415,35.6471309,+961 9 850 825,,,,,,,,1,high,"RTYLR commerce OS (POS, online ordering, CRM)",osm,2026-05-04T11:47:22.388875Z
Napoleon Hotel,hotel,Beirut,LB,"Nehme Yafet, Bayrut, Lebanon",33.897331199999996,35.479969,01 340 013,,http://www.napoleonbeirut.com/,True,,,3.4,554,3,high,Reputation + SEO turnaround,google_places|osm,2026-05-04T11:47:22.394171Z
رصيف بيروت,restaurant,Beirut,LB,"شارع عمر بن عبد العزيز, Beyrouth",33.8974423,35.4844673,+9611736727,,,,,,,,2,high,"RTYLR commerce OS (POS, online ordering, CRM)",osm,2026-05-04T11:47:22.388875Z
A New Earth Organic Store,supermarket,Beirut,LB,شارع زهرة الإحسان,33.8897362,35.5174801,+961 1 219 920,,https://www.anewearth.net/,True,,,,,3,medium,SEO audit + visibility upgrade,osm,2026-05-04T11:47:22.388875Z
ملك الطاووق أبراج,fast_food,Beirut,LB,,33.8680207,35.5263357,+9611281678,,,,,,,,1,high,"RTYLR commerce OS (POS, online ordering, CRM)",osm,2026-05-04T11:47:22.388875Z
MidTown Hotel & Suites,hotel,South Lebanon,LB,"483, شارع صوراتي, Beyrouth",33.8971008,35.4834235,+961 1 347 555,,,,https://www.facebook.com/MidtownHotelSuites,,,,3,high,Website launch + capture their existing audience,osm,2026-05-04T11:47:22.388875Z
صب معادن أرتين,convenience,Mount Lebanon,LB,,33.8853167,35.551827,+9611488500,,,,,,,,1,medium,"RTYLR commerce OS (POS, online ordering, CRM)",osm,2026-05-04T11:47:22.388875Z
