name,category,region,country,address,lat,lon,phone,email,website,website_live,facebook,instagram,rating,review_count,completeness_score,industry_priority,recommended_service,source,scraped_at
Hopital des Soeurs du Rosaire,hospital,Beirut,LB,"VGW8+837, Beirut, Lebanon",33.8957958,35.5151822,01 440 800,info@hopitalrosaire.org,http://www.hopitalrosaire.org/,True,,,4.2,56,4,medium,Discovery call - scope the right service,google_places|osm,2026-05-04T11:47:22.394171Z
ستاربكس,cafe,Beirut,LB,,33.8956032,35.4830661,+9611744305,,https://www.starbucks.com/,True,,,,,2,high,SEO audit + visibility upgrade,osm,2026-05-04T11:47:22.388875Z
عبدالرحمان الحلاب,bakery,North Lebanon,LB,Tripoli,34.4374808,35.8336931,+9616444445,,https://www.hallab.com.lb/,True,,,,,3,medium,SEO audit + visibility upgrade,osm,2026-05-04T11:47:22.388875Z
أوتيل ماربل تاور,hotel,Beirut,LB,شارع نعمة يافت,33.8966863,35.4802065,+9611354586,info@marbletowerhotel.com,http://www.marbletowerhotel.com,True,,,,,4,high,SEO audit + visibility upgrade,osm,2026-05-04T11:47:22.388875Z
Nini Hospital,hospital,North Lebanon,LB,"El Maarad, Tarablus, Lebanon",34.4355717,35.8305106,06 431 400,,http://hopitalnini.com/,True,,,3.3,118,3,medium,Reputation + SEO turnaround,google_places|osm,2026-05-04T11:47:22.394171Z
أفران شمسين,bakery,Mount Lebanon,LB,طريق البحر السريع,33.7765746,35.4716779,+9615800658,,http://www.chamsine.net,True,,,,,3,medium,SEO audit + visibility upgrade,osm,2026-05-04T11:47:22.388875Z
Saydet Zgharta Hospital,hospital,North Lebanon,LB,زغرتا,34.3996522,35.8856898,+9616660575,,http://www.ehdenz.com,True,,,,,3,medium,SEO audit + visibility upgrade,osm,2026-05-04T11:47:22.388875Z
مطعم أبو نعيم,restaurant,Beirut,LB,"12, شارع عمر بن عبد العزيز, بيروت",33.8952358,35.4834994,+9611750480,,https://www.facebook.com/AbuNaimHamra,True,,,,,3,high,SEO audit + visibility upgrade,osm,2026-05-04T11:47:22.388875Z
ستاربكس,cafe,Mount Lebanon,LB,,33.9005689,35.572722,+961 1 757 154,,https://locations.starbucks.com.lb/directory/mount-lebanon/zalka-road-zalka,True,,,,,2,high,SEO audit + visibility upgrade,osm,2026-05-04T11:47:22.388875Z
سي اسويت,confectionery,Beirut,LB,Rue de Damas,33.8675065,35.5271053,+9611292444,,http://www.lebanon.com/seasweet/,True,,,,,3,medium,SEO audit + visibility upgrade,osm,2026-05-04T11:47:22.388875Z
Copas,restaurant,Mount Lebanon,LB,"برمانا, Broumana",33.8855576,35.6393939,+961 4 963 999,,http://www.copas.asia/,False,,,,,3,high,Website rebuild + maintenance,osm,2026-05-04T11:47:22.388875Z
مستشفى شتورا,hospital,Bekaa,LB,شتورا,33.8192371,35.8586781,+9618544022,,http://www.chtourahospital.com,True,,,,,3,medium,SEO audit + visibility upgrade,osm,2026-05-04T11:47:22.388875Z
EKT Katrangi,electronics,Beirut,LB,"شارع خليل مطران, Beyrouth",33.864812,35.4904856,+961 1 820 020,,https://www.katranji.com,True,,,,,3,medium,SEO audit + visibility upgrade,osm,2026-05-04T11:47:22.388875Z
Softkube s.a.r.l.,company,Beirut,LB,"Slaf Street, Beyrouth",33.878791,35.5427933,+9611494676,,https://softkube.com/,True,,,,,3,low,SEO audit + visibility upgrade,osm,2026-05-04T11:47:22.388875Z
Sanita,company,Mount Lebanon,LB,,34.0830218,35.6500995,+9619477001,info@sanitalb.com,http://www.sanitalb.com,True,,,,,3,low,SEO audit + visibility upgrade,osm,2026-05-04T11:47:22.388875Z
Khodr Jewelry,jewelry,Beirut,LB,شارع أمين منيمنة,33.8929773,35.4853709,+9611343539,info@khodrjewelry.com,https://www.khodrjewelry.com/,False,,,,,4,high,Website rebuild + maintenance,osm,2026-05-04T11:47:22.388875Z
Centre de Design Farra,furniture,Mount Lebanon,LB,"155, طريق برمانا الرئيسية, Metn",33.8638968,35.5469009,+961 1 687 000,,http://www.farra.com,True,,,,,3,medium,SEO audit + visibility upgrade,osm,2026-05-04T11:47:22.388875Z
