name,category,region,address,lat,lon,phone,email,website,website_live,facebook,instagram,rating,review_count,completeness_score,source,scraped_at
Fahed,supermarket,Mount Lebanon,,33.9849867,35.6347929,+9619934433,,,,,,,,1,osm,2026-05-04T05:55:01.794291Z
مستشفى الإقليم المركزي,hospital,Mount Lebanon,,33.6139536,35.4721675,+9617970777,,,,,,,,1,osm,2026-05-04T05:55:01.794291Z
روسّا كافيه,cafe,Beirut,,33.8952284,35.484735,+961 1 343 339,,,,,,,,1,osm,2026-05-04T05:55:01.794291Z
صيدلية قاروط,pharmacy,Beirut,,33.875686,35.4974978,+9611306099,,,,,,,,1,osm,2026-05-04T05:55:01.794291Z
حنيني,pharmacy,Beirut,بيروت,33.8736312,35.5000326,+9611819110,,,,,,,,2,osm,2026-05-04T05:55:01.794291Z
مطعم الشمس,restaurant,Bekaa,"Anjar Main Road, Anjar",33.7293791,35.9272457,+9618620568,,,,,,,,2,osm,2026-05-04T05:55:01.794291Z
Aida Pharmacy,pharmacy,Mount Lebanon,Debbiyeh,33.6828717,35.4748587,+9617985662,,,,,,,,2,osm,2026-05-04T05:55:01.794291Z
بلدية الدبية,townhall,Mount Lebanon,الدبية,33.6649877,35.4889622,+9617985400,,,,,,,,2,osm,2026-05-04T05:55:01.794291Z
صيدلية الوردية,pharmacy,Mount Lebanon,,33.8005793,35.4861194,+9615806608,,,,,,,,1,osm,2026-05-04T05:55:01.794291Z
باب الميناء,restaurant,North Lebanon,,34.1218287,35.6439216,+9619540475,,,,,,,,1,osm,2026-05-04T05:55:01.794291Z
أوتيل بيفيو,hotel,Beirut,,33.9015855,35.4910599,+9611373090,,,,,,,,1,osm,2026-05-04T05:55:01.794291Z
Byblos Comfort Hotel,hotel,North Lebanon,جبيل,34.123963,35.6481661,+9619942200,info@bybloscomforthotel.com,,,,,,,3,osm,2026-05-04T05:55:01.794291Z
حاج سوبرستور,supermarket,North Lebanon,,34.1205801,35.6509154,+9619546000,,,,,,,,1,osm,2026-05-04T05:55:01.794291Z
نزل مار ميخائيل,hostel,Mount Lebanon,معاصر الشوف,33.6671352,35.6716396,+961 5 350451;+961 5 350452,,,,,,,,2,osm,2026-05-04T05:55:01.794291Z
فندق الباروك بالاس,hotel,Mount Lebanon,,33.7123376,35.6902985,+961 5 240251,,,,,,,,1,osm,2026-05-04T05:55:01.794291Z
فندق إيريس فلور,hotel,South Lebanon,Jezzine,33.5407869,35.5846962,+961 7 781999,,,,,,,,2,osm,2026-05-04T05:55:01.794291Z
الرامي,restaurant,Mount Lebanon,,33.8361609,35.7396675,+961 5 531694,,,,,,,,1,osm,2026-05-04T05:55:01.794291Z
Sabis Adma,school,Mount Lebanon,,34.0234982,35.6378846,+9619854154,,,,,,,,1,osm,2026-05-04T05:55:01.794291Z
Tavolina,restaurant,Beirut,,33.8971463,35.5243323,+961 1 442 244,,,,,,,,1,osm,2026-05-04T05:55:01.794291Z
سفارة هولندا,diplomatic,Beirut,جادة الرئيس اللواء فؤاد شهاب,33.8917386,35.5178249,+9611211150,,,,,,,,2,osm,2026-05-04T05:55:01.794291Z
ماكدونالدز,fast_food,Mount Lebanon,,33.9105469,35.5829256,+9614521349,,,,,,,,1,osm,2026-05-04T05:55:01.794291Z
Wooden Bakery,bakery,Mount Lebanon,,33.8542707,35.569453,+9614532666,,,,,,,,1,osm,2026-05-04T05:55:01.794291Z
